timestamp,time_s,C_air,obs_z005,obs_z020,obs_z035,obs_z050,sim_z005,sim_z020,sim_z035,sim_z050,C_surface_ppm,J_up_Robin_umol
2024-07-19 01:30:00,0.0000,414.0601,5044.5545,6910.1446,7055.6835,7051.1007,5246.3289,6741.4377,7244.6540,6975.8223,4230.3292,1.5609
2024-07-19 01:45:00,900.0000,414.4094,5058.1517,6654.4001,6870.8737,6867.7216,5302.6976,6703.8359,7201.5911,6955.2439,4349.5293,1.6095
2024-07-19 02:00:00,1800.0000,415.7234,4877.8012,6816.9068,6876.0275,7048.9975,5352.4218,6674.0738,7160.6941,6935.1060,4391.6317,1.6261
2024-07-19 02:15:00,2700.0000,414.7053,4988.4777,6813.5164,7037.6393,6917.8099,5384.9587,6651.3495,7122.3276,6915.4974,4433.8791,1.6438
2024-07-19 02:30:00,3600.0000,416.8188,5018.2737,6733.7363,6930.3000,7064.2825,5409.0184,6633.5499,7086.7756,6896.5211,4454.7022,1.6515
2024-07-19 02:45:00,4500.0000,415.6743,5062.1689,6803.1023,7098.8984,7012.4969,5426.5163,6618.6281,7054.1403,6878.2905,4475.7970,1.6606
2024-07-19 03:00:00,5400.0000,414.0881,4975.2734,6831.9608,7153.8787,6919.6440,5438.7315,6605.4132,7024.3185,6860.9188,4486.2554,1.6655
2024-07-19 03:15:00,6300.0000,415.5965,4966.7391,6845.8429,7047.5471,6930.7311,5447.4129,6593.2649,6997.0746,6844.5053,4497.0857,1.6693
2024-07-19 03:30:00,7200.0000,415.7111,5083.4296,6854.7585,6912.7723,6985.5257,5452.9505,6581.7675,6972.1335,6829.1239,4502.3421,1.6714
2024-07-19 03:45:00,8100.0000,415.1945,5138.7932,6857.0353,6880.3749,6974.7282,5456.3808,6570.6901,6949.2299,6814.8174,4507.3249,1.6737
2024-07-19 04:00:00,9000.0000,414.7148,4915.0289,6642.1238,7002.9151,6945.6294,5457.7776,6559.8988,6928.1248,6801.6002,4508.9163,1.6745
2024-07-19 04:15:00,9900.0000,415.1017,5017.1208,6877.2341,6944.7880,7070.0897,5457.7671,6549.3142,6908.6101,6789.4630,4510.3990,1.6750
2024-07-19 04:30:00,10800.0000,415.2643,4988.0366,6744.2411,7145.2718,7085.7640,5456.5100,6538.8946,6890.5083,6778.3794,4509.8855,1.6747
2024-07-19 04:45:00,11700.0000,415.1837,5021.5105,6836.6171,6986.0872,7139.2902,5454.3299,6528.6202,6873.6687,6768.3112,4509.1434,1.6744
2024-07-19 05:00:00,12600.0000,414.3096,4983.9263,6701.0314,6987.1775,6910.9358,5451.3223,6518.4881,6857.9640,6759.2127,4507.0046,1.6739
2024-07-19 05:15:00,13500.0000,414.9721,4965.9535,6878.0504,7110.6279,7116.2540,5447.6696,6508.5013,6843.2859,6751.0340,4504.7910,1.6727
2024-07-19 05:30:00,14400.0000,414.1690,5038.3166,6834.0433,7008.7012,6840.2594,5443.5105,6498.6663,6829.5427,6743.7233,4501.7328,1.6718
2024-07-19 05:45:00,15300.0000,414.9925,4926.2869,6839.8013,7156.1895,7012.6079,5438.9467,6488.9930,6816.6557,6737.2290,4498.6013,1.6702
2024-07-19 06:00:00,16200.0000,415.0940,4947.8425,6709.1134,6891.2951,7155.1438,5434.0914,6479.4937,6804.5574,6731.5004,4495.0551,1.6687
2024-07-19 06:15:00,17100.0000,414.0591,5019.6145,6912.4523,7087.7479,6969.0526,5428.9853,6470.1810,6793.1891,6726.4887,4491.2189,1.6676
2024-07-19 06:30:00,18000.0000,415.5034,5025.3855,6789.9002,6846.2717,6999.0685,5423.6889,6461.0665,6782.5002,6722.1474,4487.2797,1.6654
2024-07-19 06:45:00,18900.0000,413.7632,4894.3000,6829.3583,7096.7464,7034.7797,5418.2658,6452.1599,6772.4461,6718.4325,4483.1413,1.6644
2024-07-19 07:00:00,19800.0000,414.2664,5040.3031,6793.3772,7046.1417,6860.7158,5412.7373,6443.4693,6762.9877,6715.3027,4478.7919,1.6624
2024-07-19 07:15:00,20700.0000,414.6357,5077.9224,6696.7307,7070.8900,6982.4183,5407.1543,6435.0016,6754.0899,6712.7194,4474.6411,1.6605
2024-07-19 07:30:00,21600.0000,415.1216,5020.2275,6812.0447,7044.6902,7138.5547,5401.6095,6426.7633,6745.7215,6710.6465,4470.3946,1.6586
2024-07-19 07:45:00,22500.0000,415.2358,4899.0429,6690.7346,7073.4556,6970.6000,5396.0901,6418.7615,6737.8542,6709.0504,4466.2043,1.6568
2024-07-19 08:00:00,23400.0000,414.6865,5021.4610,6838.8609,7062.6352,6964.9214,5390.6060,6411.0033,6730.4627,6707.9000,4461.8691,1.6553
2024-07-19 08:15:00,24300.0000,413.6794,4982.2968,6931.5566,7190.1897,6983.8097,5385.1341,6403.4922,6723.5239,6707.1663,4457.4734,1.6539
2024-07-19 08:30:00,25200.0000,415.0207,4946.4916,6832.2619,6889.1152,6845.5547,5379.7239,6396.2278,6717.0169,6706.8224,4453.3005,1.6517
2024-07-19 08:45:00,26100.0000,415.6085,4875.6459,6851.1702,6896.0088,7040.9052,5374.4573,6389.2098,6710.9222,6706.8434,4449.3512,1.6498
2024-07-19 09:00:00,27000.0000,416.6182,5052.5322,6851.9496,6937.8566,6932.0676,5369.3520,6382.4408,6705.2217,6707.2063,4445.4722,1.6478
2024-07-19 09:15:00,27900.0000,414.7428,4995.1649,6812.6401,7043.0347,6925.8356,5364.3458,6375.9255,6699.8986,6707.8896,4441.4292,1.6469
